PHR,group,level,n,answer,pct,low,high
3,Marital Status,Not married,"1,054",YES,31.9,28.1,35.9
3,Employment Status,Employed,"1,237",YES,24.0,21.0,27.3
3,Employment Status,Not employed,944,YES,48.5,43.7,53.3
3,Health Insurance,Health insurance,"1,885",YES,36.9,33.9,40.1
3,Health Insurance,No health insurance,228,YES,13.8,9.1,20.5
3,Disability Status,Has disability,650,YES,45.2,39.5,51.1
3,Disability Status,No disability,"1,532",YES,28.1,25.2,31.3
3,Sexual Orientation,"Gay, Lesbian, or Bisexual",130,YES,50.5,39.3,61.7
3,Sexual Orientation,Straight,"1,718",YES,34.6,31.6,37.8
3,Total,Total,"2,202",NO,66.5,63.7,69.2
3,Sex,Male,"1,114",NO,69.0,65.2,72.6
3,Sex,Female,"1,088",NO,64.0,60.0,67.9
3,Race/Ethnicity,"White, Non-Hispanic","1,341",NO,59.6,56.0,63.2
3,Race/Ethnicity,"Black, Non-Hispanic",237,NO,65.9,57.9,73.1
3,Race/Ethnicity,Hispanic,356,NO,74.8,68.6,80.1
3,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",222,NO,72.9,64.8,79.7
3,Age,18 to 29,362,NO,78.2,72.0,83.3
3,Age,30 to 44,530,NO,82.6,78.2,86.3
3,Age,45 to 64,663,NO,69.4,64.3,74.1
3,Age,65+,616,NO,26.8,21.8,32.4
3,Education,Less than high school,115,NO,71.6,60.5,80.6
3,Education,High school graduate,474,NO,71.5,65.7,76.6
3,Education,Some college,599,NO,61.1,55.7,66.2
3,Education,College graduate,"1,004",NO,65.8,62.0,69.5
3,Income,"<$25,000",218,NO,61.0,51.3,69.9
3,Income,"$25,000 to <$50,000",410,NO,67.3,60.7,73.3
3,Income,"$50,000+","1,216",NO,68.4,64.6,71.9
3,Marital Status,Married,"1,128",NO,65.2,61.2,68.9
3,Marital Status,Not married,"1,054",NO,68.1,64.1,71.9
3,Employment Status,Employed,"1,237",NO,76.0,72.7,79.0
3,Employment Status,Not employed,944,NO,51.5,46.7,56.3
3,Health Insurance,Health insurance,"1,885",NO,63.1,59.9,66.1
3,Health Insurance,No health insurance,228,NO,86.2,79.5,90.9
3,Disability Status,Has disability,650,NO,54.8,48.9,60.5
3,Disability Status,No disability,"1,532",NO,71.9,68.7,74.8
3,Sexual Orientation,"Gay, Lesbian, or Bisexual",130,NO,49.5,38.3,60.7
3,Sexual Orientation,Straight,"1,718",NO,65.4,62.2,68.4
4,Total,Total,214,YES,38.9,30.5,48.0
4,Sex,Male,104,YES,38.0,26.9,50.5
4,Sex,Female,110,YES,39.7,27.8,52.9
4,Race/Ethnicity,"White, Non-Hispanic",157,YES,39.1,30.4,48.5
4,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
4,Race/Ethnicity,Hispanic,N,YES,,,
4,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
4,Age,18 to 29,N,YES,,,
4,Age,30 to 44,N,YES,,,
4,Age,45 to 64,67,YES,28.3,16.8,43.6
4,Age,65+,89,YES,67.9,52.3,80.4
4,Education,Less than high school,N,YES,,,
4,Education,High school graduate,75,YES,34.0,22.1,48.2
4,Education,Some college,67,YES,37.9,25.8,51.8
4,Education,College graduate,59,YES,46.0,30.2,62.8
4,Income,"<$25,000",N,YES,,,
4,Income,"$25,000 to <$50,000",59,YES,48.7,31.7,66.0
4,Income,"$50,000+",79,YES,27.0,16.7,40.6
4,Marital Status,Married,105,YES,38.9,28.0,51.0
4,Marital Status,Not married,109,YES,38.9,26.6,52.9
4,Employment Status,Employed,88,YES,18.8,10.4,31.6
4,Employment Status,Not employed,123,YES,59.9,46.7,71.8
4,Health Insurance,Health insurance,191,YES,40.6,31.5,50.4
4,Health Insurance,No health insurance,N,YES,,,
