source_file,group,category,sample_size,response,pct,ci_low,ci_high
2024_PHR1_BRFSS_Summary_Tables.xlsx,Sexual Orientation,Straight,843,NO,14.3,8.3,23.5
2024_PHR2_BRFSS_Summary_Tables.xlsx,Total,Total,940,YES,79.3,72.3,85.0
2024_PHR2_BRFSS_Summary_Tables.xlsx,Sex,Male,455,YES,83.5,76.8,88.5
2024_PHR2_BRFSS_Summary_Tables.xlsx,Sex,Female,485,YES,75.4,63.3,84.5
2024_PHR2_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"White, Non-Hispanic",703,YES,84.0,77.2,89.0
2024_PHR2_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Black, Non-Hispanic",55,YES,91.0,75.1,97.1
2024_PHR2_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,Hispanic,115,YES,64.8,43.9,81.2
2024_PHR2_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Age,18 to 29,117,YES,65.6,44.4,82.1
2024_PHR2_BRFSS_Summary_Tables.xlsx,Age,30 to 44,180,YES,65.7,49.3,79.1
2024_PHR2_BRFSS_Summary_Tables.xlsx,Age,45 to 64,286,YES,83.7,73.6,90.4
2024_PHR2_BRFSS_Summary_Tables.xlsx,Age,65+,347,YES,93.0,78.1,98.0
2024_PHR2_BRFSS_Summary_Tables.xlsx,Education,Less than high school,68,YES,69.4,46.1,85.7
2024_PHR2_BRFSS_Summary_Tables.xlsx,Education,High school graduate,251,YES,82.8,71.4,90.3
2024_PHR2_BRFSS_Summary_Tables.xlsx,Education,Some college,285,YES,82.0,73.6,88.2
2024_PHR2_BRFSS_Summary_Tables.xlsx,Education,College graduate,333,YES,79.0,58.6,90.9
2024_PHR2_BRFSS_Summary_Tables.xlsx,Income,"<$25,000",143,YES,76.5,57.6,88.7
2024_PHR2_BRFSS_Summary_Tables.xlsx,Income,"$25,000 to <$50,000",190,YES,85.2,74.9,91.8
2024_PHR2_BRFSS_Summary_Tables.xlsx,Income,"$50,000+",448,YES,80.1,68.5,88.2
2024_PHR2_BRFSS_Summary_Tables.xlsx,Marital Status,Married,506,YES,84.9,74.6,91.5
2024_PHR2_BRFSS_Summary_Tables.xlsx,Marital Status,Not married,431,YES,71.4,60.7,80.1
2024_PHR2_BRFSS_Summary_Tables.xlsx,Employment Status,Employed,456,YES,69.6,58.6,78.7
2024_PHR2_BRFSS_Summary_Tables.xlsx,Employment Status,Not employed,471,YES,89.8,82.2,94.3
2024_PHR2_BRFSS_Summary_Tables.xlsx,Health Insurance,Health insurance,831,YES,83.3,76.0,88.7
2024_PHR2_BRFSS_Summary_Tables.xlsx,Health Insurance,No health insurance,68,YES,31.8,17.2,51.2
2024_PHR2_BRFSS_Summary_Tables.xlsx,Disability Status,Has disability,330,YES,82.5,71.0,90.1
2024_PHR2_BRFSS_Summary_Tables.xlsx,Disability Status,No disability,551,YES,80.3,70.9,87.2
2024_PHR2_BRFSS_Summary_Tables.xlsx,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Sexual Orientation,Straight,824,YES,79.4,71.8,85.4
2024_PHR2_BRFSS_Summary_Tables.xlsx,Total,Total,940,NO,9.8,5.6,16.5
2024_PHR2_BRFSS_Summary_Tables.xlsx,Sex,Male,455,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Sex,Female,485,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"White, Non-Hispanic",703,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Black, Non-Hispanic",55,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,Hispanic,115,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Age,18 to 29,117,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Age,30 to 44,180,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Age,45 to 64,286,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Age,65+,347,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Education,Less than high school,68,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Education,High school graduate,251,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Education,Some college,285,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Education,College graduate,333,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Income,"<$25,000",143,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Income,"$25,000 to <$50,000",190,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Income,"$50,000+",448,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Marital Status,Married,506,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Marital Status,Not married,431,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Employment Status,Employed,456,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Employment Status,Not employed,471,NO,,,
