max_depth,eta,cutoff,precision,precision_std,recall,recall_std,accuracy,accuracy_std
7,0.2,0.5,0.9394792280947467,0.060805247800476914,0.965625,0.05996459959949876,0.9520721925133689,0.05021661053377647
9,0.2,0.5,0.8611842105263158,0.022368421052631593,1,0,0.9191176470588235,0.01470588235294118
9,0.2,0.5,0.9305921052631578,0.07563132910523246,1,0,0.9595588235294118,0.04429237109728576
9,0.2,0.5,0.9537280701754386,0.06933924150259209,1,0,0.9730392156862745,0.04055748143830734
9,0.2,0.5,0.9340460526315789,0.06903214788987763,0.96875,0.05590169943749474,0.9494763814616756,0.05461620383989215
9,0.2,0.5,0.9419736842105263,0.06681458962088972,0.975,0.051298917604257706,0.9566399286987523,0.052034611082168745
9,0.2,0.5,0.9257766812865497,0.07175799400192769,0.953125,0.07197240564211428,0.9386140819964349,0.0633392176989088
9,0.2,0.5,0.9205069966583125,0.06752149505617736,0.9598214285714286,0.06849550056670582,0.9389801375095492,0.05846658143463413
9,0.2,0.5,0.9286053867819057,0.06729402655874382,0.96484375,0.06533393594054984,0.9456885026737968,0.05764868137276663
9,0.2,0.5,0.9300021738714979,0.06345863858950469,0.96875,0.0625,0.9484551396316102,0.0548319294469948
