Sheet,1,2,3,4,5,6,7,8,9,10,11
"Ever Told High BP - Yes, but during pregnancy",R,R,2.1,R,R,R,R,R,R,R,R
FOBT Past Yr - No,89.7,90.2,90.7,87.2,92.4,90.6,89.9,90.6,91.8,87.5,85.1
FOBT Past Yr - Yes,R,9.8,9.3,R,7.6,9.4,10.1,9.4,R,12.5,R
FOBT Past Yr IA - No,89.9,90.3,90.9,87.2,92.3,90.7,90.2,90.7,91.8,88.1,85.2
FOBT Past Yr IA - Yes,R,9.7,9.1,R,7.7,9.3,9.8,9.3,R,11.9,R
Fair or Poor Health - Fair or Poor Health,24.8,27.4,20.1,21.0,23.6,18.2,18.3,22.9,26.3,25.3,28.7
Fair or Poor Health - Good or Better Health,75.2,72.6,79.9,79.0,76.4,81.8,81.7,77.1,73.7,74.7,71.3
Flu Shot in Past Year - No,66.4,62.6,61.5,74.6,74.4,63.8,58.7,62.0,75.5,58.9,68.0
Flu Shot in Past Year - Yes,33.6,37.4,38.5,25.4,25.6,36.2,41.3,38.0,24.5,41.1,32.0
"Flu Shot, 18-64 - No",71.5,67.6,66.9,82.1,83.3,67.7,64.3,67.1,79.1,68.1,73.1
"Flu Shot, 18-64 - Yes",28.5,32.4,33.1,17.9,16.7,32.3,35.7,32.9,20.9,31.9,26.9
"Flu Shot, 65+ - No",46.9,50.9,36.5,56.8,45.8,47.6,35.0,41.3,54.4,33.9,44.0
"Flu Shot, 65+ - Yes",53.1,49.1,63.5,43.2,54.2,52.4,65.0,58.7,45.6,66.1,56.0
"Flu Vaccine Location - Canada
Mexico",.,.,.,.,.,.,.,.,.,.,.
"Flu Vaccine Location - Clinic
Health center",R,R,6.7,R,R,7.2,8.5,7.8,R,12.8,R
"Flu Vaccine Location - Doctor's office
HMO",33.3,22.4,26.0,25.1,24.9,22.0,27.2,22.3,34.2,28.5,37.6
Flu Vaccine Location - Emergency room,0.0,R,R,0.0,0.0,R,0.0,0.0,0.0,0.0,0.0
Flu Vaccine Location - Health department,R,R,R,0.0,R,R,R,R,0.0,R,R
Flu Vaccine Location - Hospital,R,R,6.6,R,R,R,7.1,R,R,R,R
Flu Vaccine Location - Other,R,R,2.4,0.0,R,R,R,R,R,R,R
Flu Vaccine Location - School,.,.,.,.,.,.,.,.,.,.,.
"Flu Vaccine Location - Senior
Recreation
Community center",R,R,R,0.0,R,R,R,R,R,R,0.0
Flu Vaccine Location - Store,27.5,38.4,49.9,53.1,46.3,49.8,45.8,50.7,23.5,41.6,37.9
