PHR,group,level,n,answer,pct,low,high
,group,category,sample_size,response,pct,ci_low,ci_high
5,Sex,Male,243,NO,80.0,71.2,86.7
5,Sex,Female,283,NO,68.4,57.2,77.8
5,Race/Ethnicity,"White, Non-Hispanic",338,NO,70.6,60.2,79.2
5,Race/Ethnicity,"Black, Non-Hispanic",84,NO,61.7,42.1,78.1
5,Race/Ethnicity,Hispanic,66,NO,90.0,81.1,95.0
5,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
5,Age,18 to 29,59,NO,86.9,71.5,94.6
5,Age,30 to 44,85,NO,90.0,81.1,95.0
5,Age,45 to 64,160,NO,76.1,62.4,85.9
5,Age,65+,216,NO,45.8,32.6,59.7
5,Education,Less than high school,N,NO,,,
5,Education,High school graduate,166,NO,81.2,71.1,88.3
5,Education,Some college,166,NO,69.1,54.3,80.8
5,Education,College graduate,153,NO,66.4,53.4,77.3
5,Income,"<$25,000",87,NO,79.0,62.4,89.5
5,Income,"$25,000 to <$50,000",117,NO,77.2,63.6,86.8
5,Income,"$50,000+",223,NO,74.4,61.7,84.0
5,Marital Status,Married,242,NO,69.3,58.1,78.7
5,Marital Status,Not married,282,NO,78.4,69.2,85.4
5,Employment Status,Employed,223,NO,81.7,71.8,88.7
5,Employment Status,Not employed,295,NO,66.5,55.5,76.0
5,Health Insurance,Health insurance,455,NO,71.4,63.4,78.2
5,Health Insurance,No health insurance,N,NO,,,
5,Disability Status,Has disability,188,NO,68.7,56.1,79.1
5,Disability Status,No disability,333,NO,76.5,67.4,83.7
5,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
5,Sexual Orientation,Straight,447,NO,71.2,62.5,78.5
6,Total,Total,"1,482",YES,36.2,31.6,41.0
6,Sex,Male,792,YES,29.3,24.1,35.2
6,Sex,Female,690,YES,43.3,36.1,50.7
6,Race/Ethnicity,"White, Non-Hispanic",817,YES,43.0,36.2,50.0
6,Race/Ethnicity,"Black, Non-Hispanic",169,YES,34.8,23.4,48.3
6,Race/Ethnicity,Hispanic,340,YES,29.6,22.7,37.5
6,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",129,YES,41.6,26.2,58.8
6,Age,18 to 29,279,YES,27.5,19.2,37.7
6,Age,30 to 44,348,YES,30.2,22.3,39.6
6,Age,45 to 64,438,YES,38.0,29.6,47.3
6,Age,65+,402,YES,52.4,41.4,63.2
